Date,Open,High,Low,Close,Adj Close,Volume
16-09-2008,187.375,187.75,181.25,187.212494,140.686386,5072364
17-09-2008,187,191.162506,182,182.524994,137.163712,4200868
18-09-2008,182,187.25,167.75,180.287506,135.482346,6357104
19-09-2008,194.925003,194.925003,182.524994,191.712494,144.068008,9544368
22-09-2008,217,217,188.25,191.699997,144.058609,4472944
23-09-2008,178.837494,191.925003,178.837494,180.25,135.454163,2966120
24-09-2008,181.137497,187,172.574997,178.262497,133.960571,7380724
25-09-2008,178.274994,179.962494,167.762497,172.100006,129.329575,15122632
26-09-2008,175,175,166.550003,169.050003,127.037582,4217244
29-09-2008,169.699997,169.699997,153,155,116.479279,5578636
30-09-2008,148,169.175003,147.5,166.399994,125.046173,8391372
01-10-2008,167.399994,171.225006,161.337494,167.9375,126.201607,6017916
03-10-2008,166.237503,166.237503,160.587494,164.375,123.524406,4172404
06-10-2008,162.8125,162.8125,150,154.75,116.291489,5882984
07-10-2008,157.787506,166.25,141.5,143.975006,108.194237,8884604
